Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.710500,      233.009,      17.6752,      877.197,     0.776257,     0.567921
    2011,      1.09037,      261.569,      18.6619,      1347.12,      1.23168,     0.778861
    2012,      1.10146,      293.434,      23.8308,      1248.48,      1.21821,     0.771250
    2013,      1.12774,      306.029,      25.0999,      1209.37,      1.27245,     0.754169
    2014,      1.31629,      315.823,      26.5279,      1059.76,      1.32896,     0.868126
    2015,      1.27636,      310.699,      27.3695,      781.004,      1.33476,     0.854167
    2016,     0.883754,      303.370,      27.6378,      550.966,     0.979695,     0.690585
    2017,      1.04216,      342.315,      26.2811,      858.369,      1.19620,     0.729373
    2018,      1.28722,      419.563,      27.3051,      1019.32,      1.30954,     0.778617
    2019,      1.33588,      436.709,      26.7773,      825.330,      1.42922,     0.819527
