Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.160602,      87.0260,      1.55505,      590.071,     0.222611,     0.132231
    2011,     0.211960,      122.970,      2.27066,      898.311,     0.282845,     0.172502
    2012,     0.263850,      198.913,      3.79630,      1204.23,     0.318395,     0.180827
    2013,     0.199001,      263.564,      5.25504,      1417.32,     0.372067,     0.177485
    2014,     0.260363,      348.362,      6.86791,      1603.81,     0.467348,     0.177028
    2015,     0.194996,      399.665,      8.55298,      1184.44,     0.290096,     0.158237
    2016,     0.132348,      369.338,      9.37002,      570.761,     0.172092,     0.121681
    2017,     0.173781,      394.710,      9.51747,      806.864,     0.289750,     0.145694
    2018,     0.170601,      486.266,      10.5035,      1038.72,     0.270880,     0.142601
    2019,     0.167748,      557.066,      11.5503,      996.358,     0.240750,     0.144353
