Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.829789,      313.566,      19.0298,      1869.55,     0.974824,     0.592404
    2011,     0.713846,      346.441,      20.8266,      1773.47,     0.828790,     0.527853
    2012,     0.686127,      353.360,      24.1222,      1360.88,     0.771401,     0.552929
    2013,     0.644064,      333.606,      25.3541,      1048.13,     0.707922,     0.544658
    2014,     0.702654,      313.556,      26.4959,      832.441,     0.748997,     0.593710
    2015,     0.678628,      279.881,      26.9513,      352.023,     0.707483,     0.553440
    2016,     0.700418,      244.374,      27.0837,      225.890,     0.742251,     0.584367
    2017,     0.533357,      218.345,      25.8403,      203.748,     0.618773,     0.493844
    2018,     0.640868,      203.231,      26.0551,      213.871,     0.699405,     0.550361
    2019,     0.770473,      188.214,      25.3438,      154.116,     0.801643,     0.630292
