Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.114544,      36.9198,      2.01995,      1129.64,     0.332260,     0.101639
    2011,    0.0861312,      43.8031,      2.82306,      1361.29,     0.317031,    0.0751318
    2012,    0.0617052,      50.5227,      4.93077,      1578.35,     0.173670,    0.0518575
    2013,    0.0478182,      58.7133,      6.45213,      1568.05,     0.192269,    0.0399129
    2014,    0.0341886,      67.1774,      8.09118,      1658.60,    0.0654194,    0.0166130
    2015,    0.0933343,      71.1293,      9.47586,      1144.45,     0.240518,    0.0781245
    2016,     0.170806,      67.9855,      10.1769,      454.682,     0.358098,     0.144336
    2017,     0.130691,      63.3480,      9.49792,      276.847,     0.282193,    0.0941165
    2018,     0.127976,      58.0344,      9.99290,      845.987,     0.270569,     0.116672
    2019,     0.143553,      53.1308,      9.28458,      213.986,     0.186345,     0.125526
