Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.116172,      24.7086,      1.45213,      947.495,     0.131146,    0.0842782
    2011,     0.113329,      28.8785,      1.68951,      1144.51,     0.133110,    0.0864059
    2012,    0.0864511,      36.0897,      4.46229,      967.949,     0.106433,    0.0725811
    2013,    0.0726707,      45.7051,      4.85198,      564.282,    0.0861972,    0.0443396
    2014,    0.0773688,      63.8014,      5.20199,      657.793,    0.0907164,    0.0532618
    2015,    0.0979969,      86.2666,      5.59181,      530.336,     0.131706,    0.0761742
    2016,    0.0721833,      93.5986,      5.87844,      465.650,     0.100089,    0.0562705
    2017,    0.0318774,      105.120,      4.84714,      561.466,    0.0387036,   0.00665552
    2018,    0.0389331,      131.396,      5.24027,      629.000,    0.0487977,   0.00440073
    2019,    0.0486674,      157.261,      5.22103,      522.043,    0.0623361,    0.0334786
