Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.294748,      64.7076,      8.13235,      682.568,     0.336331,     0.273509
    2011,     0.278572,      157.480,      9.19718,      1287.18,     0.354714,     0.260622
    2012,     0.395914,      325.243,      11.9422,      1939.84,     0.488382,     0.330679
    2013,     0.679825,      507.114,      15.4525,      2305.90,     0.771515,     0.382081
    2014,     0.473570,      668.660,      19.2876,      1909.14,     0.557652,     0.365392
    2015,     0.525770,      733.814,      22.6942,      1156.28,     0.607404,     0.357480
    2016,     0.485599,      615.056,      24.3276,      684.249,     0.556836,     0.357571
    2017,     0.391918,      589.632,      25.2618,      847.355,     0.454209,     0.332203
    2018,     0.500779,      639.614,      27.0997,      952.050,     0.599295,     0.377989
    2019,     0.488560,      670.659,      28.6205,      981.508,     0.607571,     0.357155
