Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.143718,      105.755,      2.11770,      704.593,     0.182549,    0.0526185
    2011,    0.0875329,      129.111,      2.84970,      684.122,     0.122089,    0.0493555
    2012,    0.0429185,      140.751,      3.59441,      594.252,    0.0540590,    0.0397847
    2013,    0.0340246,      141.369,      4.19437,      470.676,    0.0399544,    0.0243813
    2014,    0.0336418,      140.926,      4.70515,      417.334,    0.0437461,    0.0226412
    2015,    0.0426408,      127.082,      5.10225,      232.829,    0.0559399,    0.0381863
    2016,     0.106599,      102.552,      5.24253,      37.2402,     0.133949,    0.0515449
    2017,    0.0439287,      85.8224,      5.24301,      23.4648,    0.0574606,    0.0387403
    2018,    0.0885039,      72.0441,      5.24794,      1.63262,     0.113427,    0.0491530
    2019,    0.0591655,      64.1098,      5.22973,      0.00000,     0.100346,    0.0449726
