Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.513958,      329.402,      13.6704,      1103.14,     0.571338,     0.462158
    2011,     0.512638,      461.518,      14.7048,      1091.15,     0.582620,     0.424585
    2012,     0.567589,      457.665,      17.9715,      589.607,     0.603509,     0.456707
    2013,     0.562688,      357.804,      18.5608,      457.111,     0.635041,     0.457513
    2014,     0.472008,      310.560,      19.0150,      440.343,     0.520912,     0.397879
    2015,     0.502731,      297.950,      19.2500,      311.682,     0.543692,     0.425054
    2016,     0.492249,      283.391,      19.3830,      220.707,     0.540618,     0.434934
    2017,     0.545079,      316.542,      18.2780,      363.605,     0.585575,     0.453477
    2018,     0.648006,      444.468,      18.7918,      494.397,     0.695859,     0.474825
    2019,     0.821737,      547.979,      18.4459,      439.073,     0.831626,     0.616217
