Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.763370,      145.753,      95.0810,      4109.04,     0.804938,     0.653490
    2011,     0.752904,      267.481,      98.6124,      3275.99,     0.852758,     0.714052
    2012,     0.776931,      448.909,      111.218,      2998.20,     0.823803,     0.694436
    2013,     0.775463,      678.990,      111.355,      2980.03,     0.811870,     0.723720
    2014,      1.01300,      924.430,      119.287,      3149.32,      1.09085,     0.862642
    2015,     0.881931,      1131.78,      118.544,      2113.00,     0.949603,     0.794136
    2016,     0.828984,      1277.15,      122.322,      1422.50,     0.849301,     0.727783
    2017,     0.791655,      1404.35,      118.298,      1509.72,     0.822323,     0.686045
    2018,     0.593999,      1666.58,      118.142,      1628.01,     0.672862,     0.518745
    2019,     0.933781,      1875.00,      123.058,      1770.71,     0.961397,     0.823589
