Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,      1.52388,      532.384,      92.7575,      2988.10,      1.82728,      1.25022
    2011,      1.43562,      561.041,      98.0942,      3761.65,      1.70934,      1.12742
    2012,      2.06438,      634.499,      116.059,      3341.90,      2.28881,      1.48143
    2013,      1.98568,      720.852,      125.483,      2957.30,      2.14033,      1.31842
    2014,      2.67471,      873.422,      133.178,      3063.85,      3.06962,      1.48688
    2015,      1.93154,      1016.91,      139.837,      2652.70,      2.36676,      1.39572
    2016,      2.36416,      1111.00,      140.813,      2146.40,      2.67366,      1.41869
    2017,      2.35309,      1364.18,      135.656,      2911.40,      2.67331,      1.47594
    2018,      2.59646,      1911.52,      139.292,      4038.50,      2.98458,      1.55915
    2019,      2.50308,      2457.38,      136.739,      4641.40,      2.80313,      1.48351
