Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.669552,      146.698,      20.6290,      355.838,     0.708368,     0.392326
    2011,     0.274764,      142.355,      21.1552,      336.507,     0.318412,     0.250517
    2012,     0.507097,      136.222,      21.9491,      242.297,     0.563363,     0.336906
    2013,     0.427661,      126.295,      22.2021,      151.696,     0.460286,     0.299403
    2014,     0.371646,      120.721,      22.4999,      98.5211,     0.403364,     0.286045
    2015,     0.191312,      115.793,      22.6022,      90.4648,     0.215826,     0.191312
    2016,     0.224191,      107.638,      22.2869,      44.7196,     0.231470,     0.208514
    2017,     0.231430,      101.069,      22.0148,      30.3237,     0.238606,     0.210740
    2018,     0.198745,      101.111,      22.2713,      106.275,     0.217252,     0.198346
    2019,     0.238441,      95.8920,      22.3286,      59.1550,     0.244528,     0.215898
