Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,      14.5650,      5554.39,      590.248,      32344.0,      16.9124,      12.3482
    2011,      14.0089,      5888.07,      620.412,      33638.0,      16.2186,      11.9659
    2012,      14.9461,      6393.00,      671.375,      31316.0,      16.8601,      12.5171
    2013,      14.8860,      6770.86,      706.721,      29569.0,      16.4195,      12.5700
    2014,      15.9465,      7524.04,      748.396,      29654.0,      17.4792,      12.7950
    2015,      14.5570,      7956.90,      771.083,      19049.0,      16.1494,      12.4981
    2016,      14.6603,      7669.08,      774.599,      11567.0,      16.1592,      12.4738
    2017,      13.6541,      7972.02,      812.079,      14688.0,      15.3466,      11.9196
    2018,      14.7455,      9122.33,      828.190,      18195.0,      16.2841,      11.9661
    2019,      15.6081,      10135.5,      818.050,      16476.0,      17.1476,      12.7917
