Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,    0.0669629,      31.9174,      2.57358,      363.509,    0.0838079,    0.0503809
    2011,     0.122742,      34.0952,      2.89720,      353.083,     0.134557,    0.0972591
    2012,    0.0950830,      38.2649,      3.67806,      441.770,     0.104133,    0.0811069
    2013,     0.149998,      38.5506,      4.07048,      374.577,     0.166506,     0.114644
    2014,     0.160036,      38.8249,      4.45235,      289.741,     0.180041,     0.122236
    2015,    0.0741836,      34.4545,      4.66545,      112.706,    0.0889738,    0.0641284
    2016,     0.115058,      29.8260,      4.65018,      33.7032,     0.129697,    0.0984433
    2017,    0.0586385,      27.0681,      4.54449,      69.8234,    0.0769474,    0.0586240
    2018,    0.0372838,      25.7784,      4.61252,      49.5686,    0.0461322,    0.0190957
    2019,    0.0601085,      23.3668,      4.36443,      59.5051,    0.0744367,    0.0600745
