Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.128176,      15.2469,     0.917860,      113.362,     0.165702,    0.0433731
    2011,    0.0779665,      16.2399,      1.00465,      82.4212,     0.113291,    0.0406904
    2012,    0.0371861,      17.1863,      1.17847,      67.4329,    0.0488314,    0.0336154
    2013,    0.0286832,      16.6188,      1.23935,      54.0323,    0.0352596,    0.0201199
    2014,    0.0287529,      16.0917,      1.29474,      47.9499,    0.0411857,    0.0189240
    2015,    0.0364757,      14.3869,      1.33156,      30.2800,    0.0508485,    0.0320712
    2016,    0.0973811,      11.8410,      1.33590,      4.06361,     0.128991,    0.0429456
    2017,    0.0371427,      9.85880,      1.27567,      4.26569,    0.0503493,    0.0318663
    2018,    0.0795131,      8.42525,      1.28725,      5.04098,     0.108626,    0.0410118
    2019,    0.0510298,      7.60172,      1.25592,      4.24032,    0.0886737,    0.0369057
