Year,Emissions [Tg],Production [MBOE],ActiveWells[1e4],NewWells,Emission(Max),Emission(Min)
    2010,     0.123965,      83.8845,      4.74429,      875.568,     0.161932,     0.107707
    2011,     0.197663,      78.0011,      5.41121,      690.622,     0.330032,     0.135749
    2012,     0.108314,      65.0693,      6.04391,      286.562,     0.131737,    0.0842252
    2013,     0.110019,      63.2772,      6.37460,      313.196,     0.144181,    0.0980953
    2014,     0.112487,      68.7016,      6.68451,      404.351,     0.139733,    0.0952238
    2015,    0.0837495,      75.5333,      6.98811,      235.664,     0.103644,    0.0155595
    2016,     0.114057,      59.2772,      7.20501,      84.4812,     0.148424,     0.100153
    2017,     0.104305,      61.4460,      7.32951,      143.777,     0.132278,    0.0828810
    2018,     0.115176,      72.3916,      7.56839,      205.402,     0.146627,     0.100535
    2019,    0.0927710,      89.5578,      7.34129,      272.856,     0.120482,    0.0516148
